Store,Avg_Category_Price_Index,Volatility_Score,Lowest_Price_Count,LDI,Median_Deviation_From_Market
Al-Fatah,1.0,0.0356397740019404,8166,0.8820479585223591,0.0
Chase Up,0.9999999999999999,0.06385850856780656,254,0.027435731259451285,0.0
Metro,0.0,0.05316446713189756,838,0.09051631021818968,0.0
