Store,Al-Fatah,Chase Up,Metro
Al-Fatah,1.0,0.7293425879024987,0.9484495373858743
Chase Up,0.7293425879024987,1.0,0.8101710836428448
Metro,0.9484495373858743,0.8101710836428448,1.0
