match_id,Mean_Price,Median_Price,Std_Price,Min_Price,Max_Price,Store_Count,Product_Name,Category,Brand,Median_Quantity,Price_Range,Price_Spread_Ratio,CV,IQR
9474,956.52,956.52,0.0,956.52,956.52,1,SWEET SONF MIX BOX 230GM,Snacks & Confectioneries,sweet,0.23,0.0,1.0,0.0,0.0
9475,2011.63,2011.63,0.0,2011.63,2011.63,1,Supreme Brooke Bond Mix Tea 430GM,,brooke bond,0.43,0.0,1.0,0.0,0.0
9476,11736.11,11736.11,0.0,11736.11,11736.11,1,DREAM WHIPPED TOPPING MIX 72 GM,Food & Beverages,dream,0.072,0.0,1.0,0.0,0.0
9477,1200.0,1200.0,0.0,1200.0,1200.0,1,AUK FOOD ZAIQA MIX 100 GM,Snacks & Confectioneries,auk,0.1,0.0,1.0,0.0,0.0
9478,645.0,645.0,0.0,645.0,645.0,1,ICEPAC MIX - 3 VEGETABLES 1 KG,Food & Beverages,icepac,1.0,0.0,1.0,0.0,0.0
9479,493.75,493.75,0.0,493.75,493.75,1,SHANGRILA MIXED PICKLE IN OIL POUCH 800 GM,Food & Beverages,shan,0.8,0.0,1.0,0.0,0.0
9480,806.45,806.45,0.0,806.45,806.45,1,SHEZAN PICKLE SATRANG MIXED IN OIL 310 GM,Food & Beverages,shezan,0.31,0.0,1.0,0.0,0.0
9481,600.0,600.0,0.0,600.0,600.0,1,SHEZAN MIXED VEGETABLE PICKLE VINEGAR 300 GM,Food & Beverages,shezan,0.3,0.0,1.0,0.0,0.0
9482,859.38,859.38,0.0,859.38,859.38,1,NATIONAL PICKLE MIXED 320 GM,Food & Beverages,national,0.32,0.0,1.0,0.0,0.0
9483,791.67,791.67,0.0,791.67,791.67,1,MITCHELLS PICKLE MIXED 360 GM,Food & Beverages,mitchells,0.36,0.0,1.0,0.0,0.0
9484,1283.78,1283.78,0.0,1283.78,1283.78,1,DEW DROP PICKLE MIXED 370 GM,Food & Beverages,dew drop,0.37,0.0,1.0,0.0,0.0
9485,1146.15,1146.15,0.0,1146.15,1146.15,1,WADI FOOD MIXED PICKLE 650 GM,Food & Beverages,wadi,0.65,0.0,1.0,0.0,0.0
9486,964.29,964.29,0.0,964.29,964.29,1,DEW DROP PICKLED MIXED 700 GM,Food & Beverages,dew drop,0.7,0.0,1.0,0.0,0.0
9487,1675.0,1675.0,0.0,1675.0,1675.0,1,AROMA PREMIUM MIXTURE ZAIQA NIMKO 200GM,Snacks & Confectioneries,aroma,0.2,0.0,1.0,0.0,0.0
9488,1160.0,1160.0,0.0,1160.0,1160.0,1,AUK FOOD NIMKO ZAIQA MIXTURE 250 GM,Snacks & Confectioneries,auk,0.25,0.0,1.0,0.0,0.0
9489,1805.5600000000002,1805.56,0.0,1805.56,1805.56,1,Chaseup (G) Mixture Tea Pouch900Gm,Promotions,chaseup,0.9,0.0,1.0,0.0,0.0
9490,2343.75,2343.75,0.0,2343.75,2343.75,1,BROOKE BOND SUPREME MIXTURE TEA 160 GM,Food & Beverages,brooke bond,0.16,0.0,1.0,0.0,0.0
9492,1050.0,1050.0,0.0,1050.0,1050.0,1,DAAL MONG 200 GM,Snacks & Confectioneries,daal,0.2,0.0,1.0,0.0,0.0
9493,666.67,666.67,0.0,666.67,666.67,1,WALLS PADDLE POP MOO STRAWBERRY & VANILLA 60 ML,Food & Beverages,walls,0.06,0.0,1.0,0.0,0.0
9494,470.0,470.0,0.0,470.0,470.0,1,MOONG SABAT (ZB) 500 GM,Cooking Ingredients,al-fatah,0.5,0.0,1.0,0.0,0.0
9495,470.0,470.0,0.0,470.0,470.0,1,MOONG SABAT (ZB) 1 KG,Cooking Ingredients,al-fatah,1.0,0.0,1.0,0.0,0.0
9496,510.0,510.0,0.0,510.0,510.0,1,FF MOONG SABIT 500GM,Cooking Ingredients,farm field,0.5,0.0,1.0,0.0,0.0
9497,510.0,510.0,0.0,510.0,510.0,1,FF MOONG SABIT 1KG,Cooking Ingredients,farm field,1.0,0.0,1.0,0.0,0.0
9498,6053.21,6053.21,0.0,6053.21,6053.21,1,White Pepper Ross Moor 28GM,,white,0.028,0.0,1.0,0.0,0.0
9499,1996.0,1996.0,0.0,1996.0,1996.0,1,Metro Professional Yatch Mop 250G,,metro profesional,0.25,0.0,1.0,0.0,0.0
9502,1625.0,1625.0,0.0,1625.0,1625.0,1,NUTS & MORE PEANUT ROASTED 200GM,Food & Beverages,nuts,0.2,0.0,1.0,0.0,0.0
9503,3770.0,3770.0,0.0,3770.0,3770.0,1,NUTS & MORE WALNUT PEELED 200GM,Food & Beverages,nuts,0.2,0.0,1.0,0.0,0.0
9504,4940.0,4940.0,0.0,4940.0,4940.0,1,NUTS & MORE PISTACHIO SALTED 200GM,Food & Beverages,nuts,0.2,0.0,1.0,0.0,0.0
9505,6638.89,6638.89,0.0,6638.89,6638.89,1,LIFE STYLE MORINGA POWDER 180 GM,Cooking Ingredients,life,0.18,0.0,1.0,0.0,0.0
9506,4166.67,4166.67,0.0,4166.67,4166.67,1,DAALI MORINGA POWDER 60GM,Cooking Ingredients,daali,0.06,0.0,1.0,0.0,0.0
9507,3500.0,3500.0,0.0,3500.0,3500.0,1,ECO MORINGA POWDER 100GM,Cooking Ingredients,eco,0.1,0.0,1.0,0.0,0.0
9508,2750.0,2750.0,0.0,2750.0,2750.0,1,KINGS SAUSAGES MORTADELLA 200 GM,Food & Beverages,kings,0.2,0.0,1.0,0.0,0.0
9509,28.3,28.3,0.0,28.3,28.3,1,K&N MORTADELLA SLICES 44 PCS 616 GM,Food & Beverages,k & n,44.0,0.0,1.0,0.0,0.0
9510,980.0,980.0,0.0,980.0,980.0,1,CHATPATTA MOTI SEVNIMKO 250 GMS,Snacks & Confectioneries,chatpatta,0.25,0.0,1.0,0.0,0.0
9511,1000.0,1000.0,0.0,1000.0,1000.0,1,GRANS NORTHESE MOUNTAINS PORRIDGE 250 GM,Breakfast,grans,0.25,0.0,1.0,0.0,0.0
9513,3947.3700000000003,3947.37,0.0,3947.37,3947.37,1,Popcorn Popnosh movie theater 38G,,popnosh,0.038,0.0,1.0,0.0,0.0
